week,historical_price_index,simulated_price_index,simulated_price_p10_index,simulated_price_p90_index,historical_node_index,simulated_node_index,simulated_node_p10_index,simulated_node_p90_index
0,100,100,100,100,100,100,100,100
1,85,91.6459,85.7721,98.2988,102,99.3,99.3,99.3
2,78,84.3061,74.7404,93.1952,104,98.6,98.6,98.6
3,70,76.8646,64.9851,87.7597,106,97.9,97.9,97.9
4,65,70.7014,59.9922,83.0316,108,97.2,97.2,97.2
5,60,64.2669,53.1801,75.7505,110,96.5,96.5,96.5
6,55,58.7981,47.7483,69.6172,112,95.8,95.8,95.8
7,45,53.6744,43.4932,65.708,114,102.4,102.4,102.4
8,40,49.0213,38.1212,60.5405,116,109,109,109
9,35,44.7273,35.4356,56.157,118,115.5,115.5,115.5
10,32,40.6325,32.3511,52.5013,120,122,122,122
11,30,37.3677,28.7734,46.6473,122,128.4,128.4,128.4
12,28,34.2531,26.4727,45.9223,124,134.8,134.8,134.8
13,25,31.1715,22.4346,41.658,125,141.2,141.2,141.2
14,22,28.4827,20.2734,38.901,126,147.5,147.5,147.5
15,20,26.1898,18.9072,35.2969,127,153.8,153.8,153.8
16,18,23.633,17.4369,32.5239,128,160,160,160
17,15,21.5158,15.4082,29.4183,129,166.1,166.1,166.1
18,12,19.8439,14.4845,27.7386,130,172.1,172.1,172.1
19,10,18.2839,13.4759,24.932,131,170.9,170.9,170.9
20,9,16.8562,12.0035,23.7267,132,169.7,169.7,169.7
21,8,15.2761,11.0346,21.1825,132,168.5,168.5,168.5
22,7,14.0905,9.699,20.3613,133,167.3,167.3,167.3
23,6,13.0669,8.5314,18.8928,133,166.1,166.1,166.1
24,5,11.936,7.4348,18.0903,134,164.9,164.9,164.9
25,5,10.9206,6.6846,16.534,134,163.7,163.7,163.7
26,4,9.9803,6.4063,15.5718,135,162.5,162.5,162.5
27,4,9.2207,5.9519,14.0792,135,161.3,161.3,161.3
28,3,8.3923,5.6028,12.9853,136,160.2,160.2,160.2
29,3,7.6804,5.1386,12.3225,136,159.1,159.1,159.1
30,3,7.0278,4.6275,11.1503,137,158,158,158
31,2.5,6.4576,4.2394,9.8534,137,156.9,156.9,156.9
32,2.5,5.9209,3.932,9.4323,136,155.8,155.8,155.8
33,2,5.4937,3.6354,8.497,136,154.7,154.7,154.7
34,2,5.0516,3.3109,8.1742,135,153.6,153.6,153.6
35,2,4.6628,3.0671,7.4414,135,152.5,152.5,152.5
36,1.8,4.3072,2.6375,6.7573,134,151.4,151.4,151.4
37,1.8,3.9387,2.4065,6.1751,134,150.3,150.3,150.3
38,1.5,3.5777,2.1852,5.8147,133,149.2,149.2,149.2
39,1.5,3.3203,1.9132,5.3528,133,148.1,148.1,148.1
40,1.5,3.0445,1.7782,5.2342,132,147.1,147.1,147.1
41,2,2.824,1.6165,4.7636,132,22.6525,20.8,24.6
42,2.5,0.099,0.0895,0.11,131,22.5525,20.7,24.5
43,3,0.0922,0.0808,0.1041,131,22.4525,20.6,24.4
44,3.5,0.0844,0.0715,0.0992,130,22.3525,20.5,24.3
45,4,0.0787,0.0659,0.0938,130,22.2525,20.4,24.2
46,4,0.0728,0.0595,0.0881,129,22.1525,20.3,24.1
47,3.5,0.0668,0.0537,0.0797,129,22.0525,20.2,24
48,3,0.0617,0.047,0.0749,128,21.9525,20.1,23.9
49,3,0.0564,0.0429,0.0672,128,21.8525,20,23.8
50,3,0.0519,0.0378,0.065,127,21.7525,19.9,23.7
51,3,0.0475,0.0353,0.0607,127,21.6525,19.8,23.6
