demand_volatility,debt_ratio,run_count,liquidatable_failure_rate,insolvency_failure_rate,avg_max_underwater_share,avg_final_solvency_deficit,avg_final_provider_collapse_share,avg_final_solvency_score,avg_final_price,avg_final_providers
0.0300,0.2500,30,0.966667,0.933333,0.021139,0.999971,0.338900,0.000029,1.009465,676.766667
0.0300,0.5000,30,0.000000,0.766667,0.004714,0.999978,0.197767,0.000022,1.019096,848.300000
0.0300,0.7500,30,0.000000,0.366667,0.002960,0.999984,0.070300,0.000016,1.280223,1249.200000
0.0300,1.0000,30,0.000000,0.033333,0.002480,0.999987,0.009467,0.000013,1.200885,1413.566667
0.0300,1.2500,30,0.000000,0.133333,0.002647,0.999987,0.019867,0.000013,1.050903,1443.200000
0.1000,0.2500,30,1.000000,0.800000,0.019748,0.999976,0.272300,0.000024,1.210045,755.700000
0.1000,0.5000,30,0.033333,0.366667,0.004415,0.999983,0.095567,0.000017,1.424007,1146.833333
0.1000,0.7500,30,0.000000,0.400000,0.003448,0.999983,0.103133,0.000017,1.121119,1109.000000
0.1000,1.0000,30,0.000000,0.166667,0.002667,0.999987,0.019767,0.000013,1.209947,1416.066667
0.1000,1.2500,30,0.000000,0.166667,0.002389,0.999987,0.019333,0.000013,1.095509,1481.233333
0.2000,0.2500,30,0.966667,0.766667,0.018219,0.999975,0.262733,0.000025,1.205157,763.233333
0.2000,0.5000,30,0.033333,0.600000,0.005186,0.999980,0.169433,0.000020,1.167283,932.700000
0.2000,0.7500,30,0.000000,0.400000,0.003048,0.999983,0.079300,0.000017,1.159048,1152.500000
0.2000,1.0000,30,0.000000,0.233333,0.002844,0.999986,0.028400,0.000014,1.070315,1224.800000
0.2000,1.2500,30,0.000000,0.133333,0.002571,0.999987,0.014733,0.000013,1.118195,1506.333333
0.3500,0.2500,30,0.933333,0.800000,0.018592,0.999975,0.300567,0.000025,1.142168,729.233333
0.3500,0.5000,30,0.000000,0.533333,0.004436,0.999982,0.115733,0.000018,1.166733,952.566667
0.3500,0.7500,30,0.000000,0.300000,0.002822,0.999986,0.045267,0.000014,1.319960,1302.166667
0.3500,1.0000,30,0.000000,0.266667,0.002562,0.999986,0.045200,0.000014,1.150803,1311.200000
0.3500,1.2500,30,0.000000,0.133333,0.002095,0.999988,0.025567,0.000012,1.201326,1580.800000
0.5000,0.2500,30,1.000000,0.733333,0.019740,0.999980,0.210633,0.000020,1.351653,843.000000
0.5000,0.5000,30,0.033333,0.566667,0.004743,0.999981,0.136400,0.000019,1.151848,940.166667
0.5000,0.7500,30,0.000000,0.300000,0.003128,0.999985,0.059300,0.000015,1.264374,1248.233333
0.5000,1.0000,30,0.000000,0.266667,0.002758,0.999986,0.050800,0.000014,1.086322,1254.800000
0.5000,1.2500,30,0.000000,0.133333,0.002531,0.999988,0.021733,0.000012,1.080258,1484.166667
