id	section	stakeholder	question	answerable_now	answerable_now_raw	answerability_promotion	dashboard_location	metric_used	time_window	how_derived	owner	gap_note	verdict	confidence	reproducible
A1	A Core	All viewers	What regime are we currently in (baseline, demand stress, liquidity stress, competitive yield stress, cost inflation stress)?	Y	Y	not_applicable	Simulator/Sidebar Stress Controls; Benchmark/AIInsights	regime_label; regime_stress_score; demand_delta_vs_baseline_pct; price_delta_vs_baseline_pct; cost_delta_vs_reference_pct	W25	Current run is classified as Cost Inflation Stress.	AutoEvaluator	None	yes	0.84	true
A2	A Core	All viewers	Which metrics are currently off baseline, and by how much?	Y	Y	not_applicable	Benchmark/HealthMetricsBarChart; ScenarioComparisonPanel	price_delta_vs_baseline_pct; providers_delta_vs_baseline_pct; utilization_delta_vs_baseline_pp; solvency_delta_vs_baseline; coverage_delta_vs_baseline_pp; retention_delta_vs_baseline_pp	W25 vs baseline W25	Metrics currently off baseline: Solvency.	AutoEvaluator	None	yes	0.88	true
A3	A Core	All viewers	Which failure mode is emerging right now?	Y	Y	not_applicable	Diagnostic/SignalsOfDeathPanel; DecisionTree/Financial	failure_mode_label; burn_to_mint_ratio; solvency_ratio; churn_rate_pct; demand_coverage_pct; price_delta_vs_baseline_pct	W25 vs W24	Emerging failure mode: Provider Capitulation.	AutoEvaluator	None	at_risk	0.86	true
A4	A Core	All viewers	Is provider retention stable or degrading?	Y	Y	not_applicable	Simulator/Sandbox Tier 1; DecisionTree/Miner	retention_pct; retention_delta_wow	W25 vs W24	Retention is degrading or below the benchmark threshold.	AutoEvaluator	None	at_risk	0.90	true
A5	A Core	All viewers	Is service continuity stable or degrading?	Y	Y	not_applicable	DecisionTree/Utility; Simulator/Tier 3	demand_coverage_pct; coverage_delta_wow	W25 vs W24	Service continuity is at risk due to weakening demand coverage.	AutoEvaluator	None	at_risk	0.87	true
A6	A Core	All viewers	Is incentive solvency improving or worsening (burn-to-mint direction)?	Y	Y	not_applicable	Benchmark/SolvencyProjectionChart; DecisionTree/Financial	solvency_ratio; solvency_delta_wow	W25 vs W24	Incentive solvency is deteriorating week over week.	AutoEvaluator	None	at_risk	0.92	true
A7	A Core	All viewers	Are we currently subsidy-dependent?	Y	Y	not_applicable	Diagnostic/SolvencyScorecard; DecisionTree/Financial	solvency_ratio	W25	Current configuration is not subsidy-dependent (burn at or above mint).	AutoEvaluator	None	no	0.95	true
A8	A Core	All viewers	Are current rewards aligned with realized demand?	Y	Y	not_applicable	Diagnostic/SolvencyScorecard; DecisionTree/Utility	demand_coverage_pct; utilization_pct; reward_to_demand_ratio; solvency_ratio	W25	Rewards appear misaligned with realized demand proxies.	AutoEvaluator	None	no	0.87	true
A9	A Core	All viewers	Are stress effects immediate or lagged (especially price shock vs churn vs capacity)?	Y	Y	not_applicable	DecisionTree/Miner; Benchmark/SolvencyProjectionChart	shock_week; lag_to_churn_weeks; lag_to_capacity_weeks	Shock W1 onward	Stress effects are lagged after the primary price shock.	AutoEvaluator	None	yes	0.80	true
A10	A Core	All viewers	Are we near any critical thresholds (alert states)?	Y	Y	not_applicable	DecisionTree/Miner; Benchmark/SolvencyProjectionChart	solvency_ratio; payback_months_est; churn_rate_pct	W25	At least one core metric is near a critical threshold.	AutoEvaluator	None	at_risk	0.82	true
A11	A Core	All viewers	Which leading indicators changed first?	Y	Y	not_applicable	Benchmark/AIInsights; DecisionTree/Risk	first_leading_indicator; first_breach_week; first_breach_delta; leading_indicator_count	W1 to W25	Leading indicator sequence starts with Solvency at W1. Ordered sequence: Solvency (W1) -> Churn (W1) -> Providers (W1).	AutoEvaluator	None	yes	0.84	true
A12	A Core	All viewers	What changed this week vs last week vs baseline?	Y	Y	not_applicable	Benchmark/HealthMetricsBarChart; ScenarioComparisonPanel	wow_solvency_delta; wow_providers_delta_pct; wow_coverage_delta_pp; wow_churn_delta_pp; baseline_solvency_delta; baseline_providers_delta_pct	W25 vs W24 vs baseline W25	Week-over-week and baseline deltas are available for the core KPI set.	AutoEvaluator	None	yes	0.90	true
