id	section	stakeholder	question	answerable_now	dashboard_location	metric_used	time_window	how_derived	owner	gap_note
A1	A Core	All viewers	What regime are we currently in (baseline, demand stress, liquidity stress, competitive yield stress, cost inflation stress)?	P	D01,D02,D06	activeScenarioId; macro; demandType; investorSellPct; competitorYield; providerCostPerWeek	Current parameter state	Read active preset + stress sliders and map manually to your regime taxonomy	Product+Modeling	No canonical regime label that exactly matches the 5-regime taxonomy
A2	A Core	All viewers	Which metrics are currently off baseline, and by how much?	P	D03,D07	solvencyScore; retentionRate; utilization; price; providers	Current run vs separately re-run baseline	Compare current cards/charts to a baseline rerun with same seed/horizon	Product+Modeling	No built-in global baseline-delta panel across all KPIs
A3	A Core	All viewers	Which failure mode is emerging right now?	P	D10,D14,D06	diagnostic verdict; tailRiskScore; regime summary	Current run	Use Diagnostic verdict + Risk branch + regime summary to infer mode	Product+Modeling	No single unified failure-mode classifier
A4	A Core	All viewers	Is provider retention stable or degrading?	Y	D03,D12	retentionRate; churnRatePct; providers	Weekly time series (T weeks)	Inspect retention/churn/provider trend charts	Product+Modeling	None
A5	A Core	All viewers	Is service continuity stable or degrading?	Y	D05,D13	demandServed vs capacity; utilization; demandCoverage	Weekly time series	Inspect capacity-demand and utilization trajectories	Service Reliability	None
A6	A Core	All viewers	Is incentive solvency improving or worsening (burn-to-mint direction)?	Y	D03,D11	solvencyScore; burn; mint; netBurnMinusMint	Weekly time series	Read solvency slope and burn-vs-mint relationship	Treasury/Risk	None
A7	A Core	All viewers	Are we currently subsidy-dependent?	Y	D03,D11	Solvency Ratio; Incentive Cost/GB vs Revenue/GB	Current week + trend	If solvency<1 and cost>revenue, classify as subsidy-dependent	Treasury/Risk	None
A8	A Core	All viewers	Are current rewards aligned with realized demand?	Y	D05,D11	revenuePerCapacity; costPerCapacity; utilization; demandServed	Current week + trend	Compare utility/revenue proxies against incentive spend	Protocol Design	Alignment is proxy-based, not direct on-chain settlement mapping
A9	A Core	All viewers	Are stress effects immediate or lagged (especially price shock vs churn vs capacity)?	P	D03,D05,D15	price; churnCount; providers; capacity; rewardLagWeeks	Event week and subsequent weeks	Observe post-shock paths across charts; engine includes reward/churn lag mechanics	Protocol Design	No dedicated lag estimator (e.g., computed lag in weeks)
A10	A Core	All viewers	Are we near any critical thresholds (alert states)?	Y	D03,D12,D14	solvency threshold 1.0; payback 12/36; churn panic zone; tail risk bands	Current week + near-term projection	Use threshold lines/badges in Survival, Miner, Risk views	Product+Risk	Threshold catalog not centralized in one panel
A11	A Core	All viewers	Which leading indicators changed first?	N	D03,D05,D10	N/A	N/A	Dashboard does not compute lead-lag ordering automatically	Research Lead	Requires explicit causality/lead-lag analytics layer
A12	A Core	All viewers	What changed this week vs last week vs baseline?	P	D03,D07	weekly series values; scenario outputs	Week-over-week within run; baseline via rerun	Read adjacent points and compare to a baseline run	Product+Modeling	No built-in WoW+baseline diff table
B1	B Builders	Builders / protocol designers	Are emissions too rigid relative to demand?	P	D01,D03,D15	maxMintWeekly; emissionFactor; demand; utilization	Scenario horizon	Vary emission controls and inspect solvency/utilization response	Protocol Design	KPI toggle exists but new-engine behavior is not fully surfaced as a distinct panel
B2	B Builders	Builders / protocol designers	How tightly do rewards track usage?	P	D11,D05,D15	minted vs burned; revenuePerCapacity vs costPerCapacity; demandServed	Scenario horizon	Compare incentive outflow with demand/revenue proxies	Protocol Design	No explicit rewards-to-usage elasticity score
B3	B Builders	Builders / protocol designers	Under demand contraction, how fast does burn-to-emission deteriorate?	Y	D01,D03,D11	demandType high-to-decay; solvencyScore slope	Weekly over T	Run contraction regime and measure weekly solvency decline	Protocol Design	None
B4	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on churn?	P	D12,D14,D16	churnRatePct; churnCount; sensitivity sweep outputs	Scenario horizon	Use tornado + manual parameter sweeps and inspect churn charts	Protocol Design	Sensitivity is optimized for solvency/payback, not direct churn ranking
B5	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on solvency?	Y	D14,D16	sensitivity sweep delta on solvency metric	Scenario horizon	Use tornado/sensitivity outputs ranked by delta	Protocol Design	None
B6	B Builders	Builders / protocol designers	What is the minimum provider margin needed to avoid churn acceleration?	P	D12,D15	profit; churnThreshold; churnRatePct	Weekly over T	Sweep costs/price and find churn acceleration boundary	Protocol Design	No explicit computed margin breakpoint output
B7	B Builders	Builders / protocol designers	Which provider tiers fail first under cost inflation?	P	D03,D05,D12,D15	urbanCount/ruralCount; proCount; churnCount	Scenario horizon	Compare cohort trajectories while increasing provider cost	Protocol Design	No dedicated time-varying cost-inflation process
B8	B Builders	Builders / protocol designers	How much liquidity depth is needed to prevent severe reward compression after unlock?	P	D01,D03,D15	initialLiquidity; investorSellPct; price drawdown; payback/profit	Unlock window	Sweep liquidity depth and inspect post-unlock economics	Protocol Design	No optimizer that outputs minimum required depth directly
B9	B Builders	Builders / protocol designers	How long is the lag from price shock to churn?	P	D03,D12,D15	price; churnCount; providers	Event week + subsequent weeks	Observe first significant churn increase after shock	Protocol Design	Lag is not auto-calculated as a KPI
B10	B Builders	Builders / protocol designers	How long is the lag from churn to capacity loss?	P	D05,D12,D15	churnCount; providers; capacity	Event week + subsequent weeks	Track timing between churn spike and capacity decline	Protocol Design	Lag not auto-reported
B11	B Builders	Builders / protocol designers	Does reward smoothing reduce second-order churn?	N	D15	rewardLagWeeks (engine only)	N/A in current UI workflow	Mechanic exists in model but is not operationalized as a direct dashboard experiment	Protocol Design	Needs exposed control + comparative panel
B12	B Builders	Builders / protocol designers	What is the probability of death-spiral conditions under each scenario?	P	D14,D17	tailRiskScore; insolvencyRate; drawdown; p10 floor	Per scenario run	Use risk branch as probability proxy across scenarios	Risk Modeling	No explicit deathSpiralProbability panel by scenario
B13	B Builders	Builders / protocol designers	Which scenarios produce structurally similar failure signatures?	N	D03,D10	N/A	N/A	No clustering/signature-similarity feature	Research Lead	Needs scenario-signature embedding or distance map
B14	B Builders	Builders / protocol designers	Do differentiated incentives by commitment tier improve retention quality?	P	D01,D05,D12,D15	proTierPct; proCount vs mercenaryCount; retention/churn	Scenario horizon	Adjust pro-tier mix and compare retention/churn outcomes	Protocol Design	Tier-specific incentive policy is proxy (hardware tiers), not full commitment contracts
B15	B Builders	Builders / protocol designers	Are we optimizing peak returns or downside resilience?	P	D07,D14	payback/earnings vs tailRisk/solvency metrics	Scenario horizon	Compare ROI metrics against tail risk and solvency metrics	Protocol Design	No explicit objective-function selector in UI
