id	section	stakeholder	question	answerable_now	dashboard_location	metric_used	time_window	how_derived	owner	gap_note	verdict	confidence	reproducible
B4	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on churn?	P	Diagnostic/SensitivityHeatmap; Simulator/Sidebar Tokenomics	top_churn_sensitivity_parameter; top_churn_sensitivity_score; current_churn_pct_week	W25 parameter state	Highest modeled churn sensitivity is currently churnThreshold (score 2.75).	AutoEvaluator	Highest modeled churn sensitivity is currently churnThreshold (score 2.75).	at_risk	0.77	true
B5	B Builders	Builders / protocol designers	Which parameter has highest sensitivity on solvency?	P	Diagnostic/SensitivityTornadoChart; Simulator/Sidebar Tokenomics	top_sensitivity_parameter; top_sensitivity_score; solvency_ratio	W25 parameter state	Highest modeled solvency sensitivity is currently competitorYield (score 1.00).	AutoEvaluator	Highest modeled solvency sensitivity is currently competitorYield (score 1.00).	no	0.74	true
B8	B Builders	Builders / protocol designers	How much liquidity depth is needed to prevent severe reward compression after unlock?	P	Simulator/Sidebar Liquidity; DecisionTree/Financial	unlock_value_usd; current_liquidity_usd; required_liquidity_usd; liquidity_gap_usd; unlock_reward_compression_pct	Unlock event at W27	Current liquidity depth is insufficient to prevent severe unlock-driven reward compression.	AutoEvaluator	Current liquidity depth is insufficient to prevent severe unlock-driven reward compression.	no	0.74	true
B11	B Builders	Builders / protocol designers	What happens if beta/bonus rewards are extended 4, 8, or 12 weeks?	P	Simulator/Sidebar Tokenomics; DecisionTree/Miner	ext4_retention_delta_pp; ext4_subsidy_gap_delta_pp; ext8_retention_delta_pp; ext8_subsidy_gap_delta_pp; ext12_retention_delta_pp; ext12_subsidy_gap_delta_pp	Projection from current state W25	Short extensions help retention, but longer extension windows meaningfully increase subsidy dependence.	AutoEvaluator	Short extensions help retention, but longer extension windows meaningfully increase subsidy dependence.	at_risk	0.71	true
B13	B Builders	Builders / protocol designers	What if burn fraction or emission decay is changed?	P	Simulator/Sidebar Tokenomics; Benchmark/SolvencyProjectionChart	current_solvency_ratio; baseline_burn_pct; projected_solvency_burn_up_emission_down; projected_solvency_burn_down_emission_up	W25 directional sweep	Directional sweep indicates higher burn and tighter emission pressure improve solvency from the current state.	AutoEvaluator	Directional sweep indicates higher burn and tighter emission pressure improve solvency from the current state.	yes	0.75	true
C1	C Governance	Onocoy governance / DAO / foundation	Which stress-response archetype are we currently exhibiting (Subsidy Inertia, Overfitting, Re-targeting, Narrative Pivot, Emergency Centralization)?	P	ScenarioComparisonPanel; Simulator/Sidebar Tokenomics	governance_archetype; subsidy_gap_pct; structural_action_score; centralization_proxy_score	W25 governance state	Current governance response archetype is classified as Overfitting.	AutoEvaluator	Current governance response archetype is classified as Overfitting.	at_risk	0.74	true
C3	C Governance	Onocoy governance / DAO / foundation	Are temporary reward boosts creating short-lived retention and long-term fragility?	P	DecisionTree/Miner; Benchmark/SolvencyProjectionChart	early_retention_pct; middle_retention_pct; late_retention_pct; solvency_late_minus_early; death_spiral_probability_pct	Early/Mid/Late segments across W1-25	No strong evidence of temporary-only retention support driving long-run fragility in this run.	AutoEvaluator	No strong evidence of temporary-only retention support driving long-run fragility in this run.	at_risk	0.73	true
C6	C Governance	Onocoy governance / DAO / foundation	How many providers are near/below breakeven?	P	Diagnostic/SolvencyScorecard; DecisionTree/Miner	providers_total; providers_below_breakeven; providers_below_breakeven_pct; providers_near_breakeven_est; providers_near_breakeven_pct	W25	Estimated 0 providers are below breakeven and ~83 are near breakeven.	AutoEvaluator	Estimated 0 providers are below breakeven and ~83 are near breakeven.	yes	0.76	true
C8	C Governance	Onocoy governance / DAO / foundation	Are we over-relying on narrative versus structural parameter change?	P	ScenarioComparisonPanel; Simulator/Sidebar Tokenomics	structural_action_score; risk_delta_pp; late_solvency_delta; retention_delta_pp	Post-intervention run vs baseline run	Intervention appears structurally grounded relative to observed outcomes.	AutoEvaluator	Intervention appears structurally grounded relative to observed outcomes.	no	0.72	true
C9	C Governance	Onocoy governance / DAO / foundation	Are we drifting toward emergency centralization to maintain coverage?	P	DecisionTree/Utility; DecisionTree/Miner	centralization_proxy_score; provider_compression_pct; top10_share_proxy_pct; foundation_fallback_proxy_pct; cohort_hhi_pct; coverage_pct	W1-25	No strong emergency-centralization drift is detected in current proxies.	AutoEvaluator	No strong emergency-centralization drift is detected in current proxies.	no	0.66	true
